Year,Month,Day,DayOfWeek,Flight_Date,UniqueCarrier,Tai_lNum,FlightNum,Origin_Airport,Origin_City_Name,Origin_State,Scheduled_Departure,Departure_Time,Dep_Delay,DepDel15,Dep_Delay_Groups,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15,Cancelled,Diverted,Distance,DistanceGroup,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers,Top_Origin,DEPTIME_GROUP1,DEPTIME_GROUP2,DEPTIME_GROUP3
2016,7,1,5,01/07/2016,AA,N793AA,1,BOS,"Boston, MA",MA,600,554,-6,0,-1,711,707,-4,0,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,2,6,02/07/2016,AA,N784AA,1,BOS,"Boston, MA",MA,600,554,-6,0,-1,711,703,-8,0,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,4,1,04/07/2016,AA,N785AA,1,BOS,"Boston, MA",MA,600,601,1,0,0,711,706,-5,0,0,0,0,187,1,0,0,0,0,0,1,1,0600-1200,0600-0800,0600-0700
2016,7,5,2,05/07/2016,AA,N790AA,1,BOS,"Boston, MA",MA,600,556,-4,0,-1,711,709,-2,0,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,6,3,06/07/2016,AA,N799AA,1,BOS,"Boston, MA",MA,600,552,-8,0,-1,711,659,-12,0,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,7,4,07/07/2016,AA,N786AA,1,BOS,"Boston, MA",MA,600,555,-5,0,-1,711,716,5,5,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,8,5,08/07/2016,AA,N787AA,1,BOS,"Boston, MA",MA,600,556,-4,0,-1,711,705,-6,0,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,9,6,09/07/2016,AA,N788AA,1,BOS,"Boston, MA",MA,600,556,-4,0,-1,711,710,-1,0,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,11,1,11/07/2016,AA,N799AA,1,BOS,"Boston, MA",MA,600,555,-5,0,-1,711,701,-10,0,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,12,2,12/07/2016,AA,N798AA,1,BOS,"Boston, MA",MA,600,549,-11,0,-1,711,722,11,11,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,13,3,13/07/2016,AA,N796AA,1,BOS,"Boston, MA",MA,600,553,-7,0,-1,711,703,-8,0,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
2016,7,14,4,14/07/2016,AA,N790AA,1,BOS,"Boston, MA",MA,600,640,40,1,2,711,752,41,41,1,0,0,187,1,40,0,1,0,0,1,1,0600-1200,0600-0800,0600-0700
2016,7,15,5,15/07/2016,AA,N794AA,1,BOS,"Boston, MA",MA,600,600,0,0,0,711,719,8,8,0,0,0,187,1,0,0,0,0,0,1,1,0000-0600,0400-0600,0500-0600
